dataset_label,mode,bin_idx,snr_left,snr_right,snr_center,n,n_by_class,sampled_n_by_class,skip_reason,accuracy,macro_f1,recall_2um,recall_4um,recall_10um
Particles2SNR_F event,available,0,-26.351515383015066,-15.608600068476262,-20.980057725745663,12,"{""10um"": 1, ""2um"": 7, ""4um"": 4}","{""10um"": 1, ""2um"": 7, ""4um"": 4}",,0.9166666666666666,0.6444444444444445,1.0,1.0,0.0
Particles2SNR_F event,available,1,-15.608600068476262,-14.228537391668441,-14.918568730072352,8,"{""10um"": 2, ""2um"": 5, ""4um"": 1}","{""10um"": 2, ""2um"": 5, ""4um"": 1}",,0.875,0.8585858585858586,1.0,1.0,0.5
Particles2SNR_F event,available,2,-14.228537391668441,-13.211495655642315,-13.720016523655378,10,"{""10um"": 4, ""2um"": 4, ""4um"": 2}","{""10um"": 4, ""2um"": 4, ""4um"": 2}",,0.7,0.5281385281385281,1.0,0.0,0.75
Particles2SNR_F event,available,3,-13.211495655642315,-12.239679325250314,-12.725587490446316,18,"{""10um"": 7, ""2um"": 8, ""4um"": 3}","{""10um"": 7, ""2um"": 8, ""4um"": 3}",,0.6666666666666666,0.5873015873015873,1.0,0.3333333333333333,0.42857142857142855
Particles2SNR_F event,available,4,-12.239679325250314,-11.236429327810436,-11.738054326530374,20,"{""10um"": 4, ""2um"": 14, ""4um"": 2}","{""10um"": 4, ""2um"": 14, ""4um"": 2}",,0.65,0.3952380952380952,0.7857142857142857,0.0,0.5
Particles2SNR_F event,available,5,-11.236429327810436,-9.860537137793475,-10.548483232801956,39,"{""10um"": 9, ""2um"": 23, ""4um"": 7}","{""10um"": 9, ""2um"": 23, ""4um"": 7}",,0.7948717948717948,0.7344681462328521,0.9565217391304348,0.7142857142857143,0.4444444444444444
Particles2SNR_F event,available,6,-9.860537137793475,-7.159408259063466,-8.50997269842847,103,"{""10um"": 31, ""2um"": 58, ""4um"": 14}","{""10um"": 31, ""2um"": 58, ""4um"": 14}",,0.7378640776699029,0.6557906430029191,0.9310344827586207,0.42857142857142855,0.5161290322580645
Particles2SNR_F event,available,7,-7.159408259063466,-0.4985589293838532,-3.8289835942236596,163,"{""10um"": 22, ""2um"": 116, ""4um"": 25}","{""10um"": 22, ""2um"": 116, ""4um"": 25}",,0.901840490797546,0.8464301251107234,0.9396551724137931,0.92,0.6818181818181818
Particles2SNR_F event,available,8,-0.4985589293838532,4.36420978143665,1.9328254260263986,243,"{""10um"": 85, ""2um"": 71, ""4um"": 87}","{""10um"": 85, ""2um"": 71, ""4um"": 87}",,0.8847736625514403,0.8828073522762061,0.8732394366197183,0.9195402298850575,0.8588235294117647
Particles2SNR_F event,available,9,4.36420978143665,32.153210260683814,18.25871002106023,279,"{""10um"": 93, ""2um"": 14, ""4um"": 172}","{""10um"": 93, ""2um"": 14, ""4um"": 172}",,0.8781362007168458,0.6620827336459446,0.14285714285714285,0.9593023255813954,0.8387096774193549
old particles2SNR event,available,0,-26.351515383015066,-15.608600068476262,-20.980057725745663,858,"{""10um"": 144, ""2um"": 478, ""4um"": 236}","{""10um"": 144, ""2um"": 478, ""4um"": 236}",,0.372960372960373,0.3926560115000622,0.2175732217573222,0.3305084745762712,0.9583333333333334
old particles2SNR event,available,1,-15.608600068476262,-14.228537391668441,-14.918568730072352,861,"{""10um"": 185, ""2um"": 502, ""4um"": 174}","{""10um"": 185, ""2um"": 502, ""4um"": 174}",,0.40301974448315914,0.41200466200466207,0.22111553784860558,0.3160919540229885,0.9783783783783784
old particles2SNR event,available,2,-14.228537391668441,-13.211495655642315,-13.720016523655378,860,"{""10um"": 202, ""2um"": 495, ""4um"": 163}","{""10um"": 202, ""2um"": 495, ""4um"": 163}",,0.4127906976744186,0.4318440409353723,0.20404040404040405,0.36809815950920244,0.9603960396039604
old particles2SNR event,available,3,-13.211495655642315,-12.239679325250314,-12.725587490446316,851,"{""10um"": 210, ""2um"": 477, ""4um"": 164}","{""10um"": 210, ""2um"": 477, ""4um"": 164}",,0.43478260869565216,0.4394813076116046,0.22641509433962265,0.32926829268292684,0.9904761904761905
old particles2SNR event,available,4,-12.239679325250314,-11.236429327810436,-11.738054326530374,849,"{""10um"": 202, ""2um"": 484, ""4um"": 163}","{""10um"": 202, ""2um"": 484, ""4um"": 163}",,0.42285041224970554,0.4343351436490646,0.21694214876033058,0.3496932515337423,0.9752475247524752
old particles2SNR event,available,5,-11.236429327810436,-9.860537137793475,-10.548483232801956,831,"{""10um"": 201, ""2um"": 499, ""4um"": 131}","{""10um"": 201, ""2um"": 499, ""4um"": 131}",,0.40312876052948254,0.4015849641679204,0.20240480961923848,0.2900763358778626,0.9751243781094527
old particles2SNR event,available,6,-9.860537137793475,-7.159408259063466,-8.50997269842847,766,"{""10um"": 205, ""2um"": 430, ""4um"": 131}","{""10um"": 205, ""2um"": 430, ""4um"": 131}",,0.40339425587467365,0.3977633439052912,0.15813953488372093,0.29770992366412213,0.9853658536585366
old particles2SNR event,available,7,-7.159408259063466,-0.4985589293838532,-3.8289835942236596,707,"{""10um"": 173, ""2um"": 363, ""4um"": 171}","{""10um"": 173, ""2um"": 363, ""4um"": 171}",,0.42998585572843,0.4457133979010961,0.15426997245179064,0.43859649122807015,1.0
old particles2SNR event,available,8,-0.4985589293838532,4.36420978143665,1.9328254260263986,626,"{""10um"": 170, ""2um"": 175, ""4um"": 281}","{""10um"": 170, ""2um"": 175, ""4um"": 281}",,0.5686900958466453,0.49643548577484115,0.10285714285714286,0.597864768683274,1.0
