dataset_label,mode,bin_idx,snr_left,snr_right,snr_center,n,n_by_class,sampled_n_by_class,skip_reason,accuracy,macro_f1,recall_2um,recall_4um,recall_10um
Particles2SNR_F event,balanced_class_snr,0,-26.351515383015066,-15.608600068476262,-20.980057725745663,3,"{""10um"": 1, ""2um"": 7, ""4um"": 4}","{""10um"": 1, ""2um"": 1, ""4um"": 1}",,0.6666666666666666,0.5555555555555555,1.0,1.0,0.0
Particles2SNR_F event,balanced_class_snr,1,-15.608600068476262,-14.228537391668441,-14.918568730072352,3,"{""10um"": 2, ""2um"": 5, ""4um"": 1}","{""10um"": 1, ""2um"": 1, ""4um"": 1}",,1.0,1.0,1.0,1.0,1.0
Particles2SNR_F event,balanced_class_snr,2,-14.228537391668441,-13.211495655642315,-13.720016523655378,6,"{""10um"": 4, ""2um"": 4, ""4um"": 2}","{""10um"": 2, ""2um"": 2, ""4um"": 2}",,0.5,0.41269841269841273,1.0,0.0,0.5
Particles2SNR_F event,balanced_class_snr,3,-13.211495655642315,-12.239679325250314,-12.725587490446316,9,"{""10um"": 7, ""2um"": 8, ""4um"": 3}","{""10um"": 3, ""2um"": 3, ""4um"": 3}",,0.6666666666666666,0.6555555555555556,1.0,0.3333333333333333,0.6666666666666666
Particles2SNR_F event,balanced_class_snr,4,-12.239679325250314,-11.236429327810436,-11.738054326530374,6,"{""10um"": 4, ""2um"": 14, ""4um"": 2}","{""10um"": 2, ""2um"": 2, ""4um"": 2}",,0.3333333333333333,0.1904761904761905,1.0,0.0,0.0
Particles2SNR_F event,balanced_class_snr,5,-11.236429327810436,-9.860537137793475,-10.548483232801956,21,"{""10um"": 9, ""2um"": 23, ""4um"": 7}","{""10um"": 7, ""2um"": 7, ""4um"": 7}",,0.6666666666666666,0.6604506604506604,0.8571428571428571,0.7142857142857143,0.42857142857142855
Particles2SNR_F event,balanced_class_snr,6,-9.860537137793475,-7.159408259063466,-8.50997269842847,42,"{""10um"": 31, ""2um"": 58, ""4um"": 14}","{""10um"": 14, ""2um"": 14, ""4um"": 14}",,0.5952380952380952,0.5876691729323308,0.8571428571428571,0.42857142857142855,0.5
Particles2SNR_F event,balanced_class_snr,7,-7.159408259063466,-0.4985589293838532,-3.8289835942236596,66,"{""10um"": 22, ""2um"": 116, ""4um"": 25}","{""10um"": 22, ""2um"": 22, ""4um"": 22}",,0.8484848484848485,0.8461881977671452,0.9545454545454546,0.9090909090909091,0.6818181818181818
Particles2SNR_F event,balanced_class_snr,8,-0.4985589293838532,4.36420978143665,1.9328254260263986,213,"{""10um"": 85, ""2um"": 71, ""4um"": 87}","{""10um"": 71, ""2um"": 71, ""4um"": 71}",,0.8779342723004695,0.878053585500394,0.8732394366197183,0.9014084507042254,0.8591549295774648
Particles2SNR_F event,balanced_class_snr,9,4.36420978143665,32.153210260683814,18.25871002106023,42,"{""10um"": 93, ""2um"": 14, ""4um"": 172}","{""10um"": 14, ""2um"": 14, ""4um"": 14}",,0.5714285714285714,0.5171218487394958,0.14285714285714285,0.7857142857142857,0.7857142857142857
old particles2SNR event,balanced_class_snr,0,-26.351515383015066,-15.608600068476262,-20.980057725745663,432,"{""10um"": 144, ""2um"": 478, ""4um"": 236}","{""10um"": 144, ""2um"": 144, ""4um"": 144}",,0.4976851851851852,0.4567914395625021,0.18055555555555555,0.3541666666666667,0.9583333333333334
