comparison_type,split,class,filename,dataset,signal_name,signal_path,label_count,overlap_max,peak_group_count,mean_abs,min,max
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_1.npy,p0_c1_particles2SNR,HFocusing_5_10_2um2_0_1.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_2um2_0_1.npy,17,5,0,0.100364302,-0.343278228,0.156061278
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_1.npy,p0_c1_clean_7_80khz,HFocusing_5_10_2um2_0_1.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_1.npy,1,1,4,0.0298742844,-0.19943811,0.157575695
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_1756.npy,p0_c1_particles2SNR,HFocusing_5_10_2um2_0_1756.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_2um2_0_1756.npy,19,5,0,0.134703367,-0.403179697,0.443974193
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_1756.npy,p0_c1_clean_7_80khz,HFocusing_5_10_2um2_0_1756.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_1756.npy,1,1,3,0.026823715,-0.161225179,0.142537371
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_100.npy,p0_c1_particles2SNR,HFocusing_5_10_2um2_0_100.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_2um2_0_100.npy,12,4,0,0.0453965952,-0.249722461,0.234641562
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_100.npy,p0_c1_clean_7_80khz,HFocusing_5_10_2um2_0_100.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_100.npy,2,1,4,0.0251596444,-0.146491905,0.153065314
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_102.npy,p0_c1_particles2SNR,HFocusing_5_10_2um2_0_102.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_2um2_0_102.npy,14,4,0,0.065306229,-0.566137514,0.535758457
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_102.npy,p0_c1_clean_7_80khz,HFocusing_5_10_2um2_0_102.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_102.npy,2,1,3,0.0344794058,-0.535539078,0.509037702
unaligned_yolo_v3_reference,test,2um,2um_test_0000.npy,yolo_v3_old_pipeline,2um_test_0000.npy,P1/yolo_dataset_v3/test/signals/2um_test_0000.npy,1,1,0,0.0696580811,-0.315420828,0.233192335
unaligned_yolo_v3_reference,test,2um,2um_test_0001.npy,yolo_v3_old_pipeline,2um_test_0001.npy,P1/yolo_dataset_v3/test/signals/2um_test_0001.npy,1,1,0,0.0510490117,-0.186600513,0.229166707
