dataset,split,class,signal_name,signal_path,mean_abs,min,max,labels,peak_groups
p0_class_folder_clean_filt,train,10um,HFocusing_5_10_10um_0_1.npy,P0/data/dataset_Particles2SNR_F_c1/train/10um/HFocusing_5_10_10um_0_1.npy,0.0632676577,-1.57670351,1.5455015,,3
p0_class_folder_clean_filt,train,10um,HFocusing_5_10_10um_0_1637.npy,P0/data/dataset_Particles2SNR_F_c1/train/10um/HFocusing_5_10_10um_0_1637.npy,0.0226808194,-0.113842973,0.103011559,,4
p0_class_folder_clean_filt,train,10um,HFocusing_5_10_10um_0_371.npy,P0/data/dataset_Particles2SNR_F_c1/train/10um/HFocusing_5_10_10um_0_371.npy,0.0736806481,-0.96591625,0.813320615,,3
p0_class_folder_clean_filt,train,10um,HFocusing_5_10_10um_Calib_75.311_0_9.npy,P0/data/dataset_Particles2SNR_F_c1/train/10um/HFocusing_5_10_10um_Calib_75.311_0_9.npy,0.0250089352,-0.108130013,0.119873701,,8
p0_class_folder_clean_filt,train,2um,HFocusing_5_10_2um2_0_10.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_10.npy,0.0239380697,-0.133116795,0.148047788,,2
p0_class_folder_clean_filt,train,2um,HFocusing_5_10_2um2_0_1822.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_1822.npy,0.0216991543,-0.0898366066,0.0971023393,,2
p0_class_folder_clean_filt,train,2um,HFocusing_5_10_2um2_0_2594.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_2594.npy,0.0220730996,-0.0923561837,0.0988631669,,4
p0_class_folder_clean_filt,train,2um,HFocusing_5_10_2um2_0_997.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_997.npy,0.0231306949,-0.0907579779,0.0950064152,,5
p0_class_folder_clean_filt,train,4um,HFocusing_5_10_4um_0_1.npy,P0/data/dataset_Particles2SNR_F_c1/train/4um/HFocusing_5_10_4um_0_1.npy,0.0365572013,-0.408678297,0.383888842,,3
p0_class_folder_clean_filt,train,4um,HFocusing_5_10_4um_0_1654.npy,P0/data/dataset_Particles2SNR_F_c1/train/4um/HFocusing_5_10_4um_0_1654.npy,0.0882352669,-0.810195993,0.636309228,,5
p0_class_folder_clean_filt,train,4um,HFocusing_5_10_4um_0_401.npy,P0/data/dataset_Particles2SNR_F_c1/train/4um/HFocusing_5_10_4um_0_401.npy,0.0452359725,-0.458537951,0.461490379,,3
p0_class_folder_clean_filt,train,4um,HFocusing_5_10_4um_0_995.npy,P0/data/dataset_Particles2SNR_F_c1/train/4um/HFocusing_5_10_4um_0_995.npy,0.0462061642,-0.681257443,0.893681818,,3
p0_class_folder_clean_filt,test,10um,HFocusing_5_10_10um_0_1012.npy,P0/data/dataset_Particles2SNR_F_c1/test/10um/HFocusing_5_10_10um_0_1012.npy,0.0218082505,-0.102319715,0.0980975361,,4
p0_class_folder_clean_filt,test,10um,HFocusing_5_10_10um_0_1620.npy,P0/data/dataset_Particles2SNR_F_c1/test/10um/HFocusing_5_10_10um_0_1620.npy,0.0409201594,-1.07715131,1.19174089,,3
p0_class_folder_clean_filt,test,10um,HFocusing_5_10_10um_0_373.npy,P0/data/dataset_Particles2SNR_F_c1/test/10um/HFocusing_5_10_10um_0_373.npy,0.0314380922,-0.921023149,0.850884281,,5
p0_class_folder_clean_filt,test,10um,HFocusing_5_10_10um_Calib_75.311_0_6.npy,P0/data/dataset_Particles2SNR_F_c1/test/10um/HFocusing_5_10_10um_Calib_75.311_0_6.npy,0.0233441581,-0.114289338,0.109832213,,4
p0_class_folder_clean_filt,test,2um,HFocusing_5_10_2um2_0_1.npy,P0/data/dataset_Particles2SNR_F_c1/test/2um/HFocusing_5_10_2um2_0_1.npy,0.0298742844,-0.19943811,0.157575695,,4
p0_class_folder_clean_filt,test,2um,HFocusing_5_10_2um2_0_1734.npy,P0/data/dataset_Particles2SNR_F_c1/test/2um/HFocusing_5_10_2um2_0_1734.npy,0.026735898,-0.198051464,0.181123472,,2
p0_class_folder_clean_filt,test,2um,HFocusing_5_10_2um2_0_2491.npy,P0/data/dataset_Particles2SNR_F_c1/test/2um/HFocusing_5_10_2um2_0_2491.npy,0.0265287422,-0.197402378,0.184764611,,3
p0_class_folder_clean_filt,test,2um,HFocusing_5_10_2um2_0_994.npy,P0/data/dataset_Particles2SNR_F_c1/test/2um/HFocusing_5_10_2um2_0_994.npy,0.0255364241,-0.161420979,0.177908344,,3
p0_class_folder_clean_filt,test,4um,HFocusing_5_10_4um_0_10.npy,P0/data/dataset_Particles2SNR_F_c1/test/4um/HFocusing_5_10_4um_0_10.npy,0.0272750356,-0.182081399,0.189006748,,5
p0_class_folder_clean_filt,test,4um,HFocusing_5_10_4um_0_1509.npy,P0/data/dataset_Particles2SNR_F_c1/test/4um/HFocusing_5_10_4um_0_1509.npy,0.0421474931,-0.499596069,0.489210748,,2
p0_class_folder_clean_filt,test,4um,HFocusing_5_10_4um_0_299.npy,P0/data/dataset_Particles2SNR_F_c1/test/4um/HFocusing_5_10_4um_0_299.npy,0.0365050029,-0.489235041,0.428213053,,2
p0_class_folder_clean_filt,test,4um,HFocusing_5_10_4um_0_986.npy,P0/data/dataset_Particles2SNR_F_c1/test/4um/HFocusing_5_10_4um_0_986.npy,0.03876998,-0.432515851,0.404055766,,4
p0_yolo_clean_filt_trainval,train,10um,HFocusing_5_10_10um_0_1.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_10um_0_1.npy,0.0632676577,-1.57670351,1.5455015,10um=1,3
p0_yolo_clean_filt_trainval,train,10um,HFocusing_5_10_10um_0_1611.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_10um_0_1611.npy,0.0371605975,-0.964757446,1.03067768,10um=2,4
p0_yolo_clean_filt_trainval,train,10um,HFocusing_5_10_10um_0_343.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_10um_0_343.npy,0.0348334896,-0.291103672,0.258223094,10um=3,3
p0_yolo_clean_filt_trainval,train,10um,HFocusing_5_10_10um_Calib_75.311_0_9.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_10um_Calib_75.311_0_9.npy,0.0250089352,-0.108130013,0.119873701,10um=5,8
p0_yolo_clean_filt_trainval,train,2um,HFocusing_5_10_2um2_0_10.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_2um2_0_10.npy,0.0239380697,-0.133116795,0.148047788,2um=2,2
p0_yolo_clean_filt_trainval,train,2um,HFocusing_5_10_2um2_0_1841.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_2um2_0_1841.npy,0.0311443491,-0.162215591,0.148233908,2um=1,3
p0_yolo_clean_filt_trainval,train,2um,HFocusing_5_10_2um2_0_277.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_2um2_0_277.npy,0.0297847903,-0.167801897,0.177397362,2um=3,3
p0_yolo_clean_filt_trainval,train,2um,HFocusing_5_10_2um2_0_997.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_2um2_0_997.npy,0.0231306949,-0.0907579779,0.0950064152,2um=1,5
p0_yolo_clean_filt_trainval,train,4um,HFocusing_5_10_4um_0_1.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_4um_0_1.npy,0.0365572013,-0.408678297,0.383888842,4um=2,3
p0_yolo_clean_filt_trainval,train,4um,HFocusing_5_10_4um_0_166.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_4um_0_166.npy,0.0228067031,-0.102020457,0.0899498375,4um=1,4
p0_yolo_clean_filt_trainval,train,4um,HFocusing_5_10_4um_0_381.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_4um_0_381.npy,0.0414782596,-0.665138633,0.568869484,4um=2,3
p0_yolo_clean_filt_trainval,train,4um,HFocusing_5_10_4um_0_995.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_4um_0_995.npy,0.0462061642,-0.681257443,0.893681818,4um=2,3
p0_yolo_clean_filt_trainval,train,no_label,HFocusing_5_10_10um_0_10.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_10um_0_10.npy,0.0205746008,-0.0765749805,0.101997617,,4
p0_yolo_clean_filt_trainval,train,no_label,HFocusing_5_10_10um_0_942.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_10um_0_942.npy,0.0214341854,-0.0916710201,0.0836293664,,2
p0_yolo_clean_filt_trainval,train,no_label,HFocusing_5_10_2um2_0_2235.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_2um2_0_2235.npy,0.020981241,-0.0834757329,0.082618153,,4
p0_yolo_clean_filt_trainval,train,no_label,HFocusing_5_10_4um_0_79.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/train/signals/HFocusing_5_10_4um_0_79.npy,0.0218206902,-0.0859404613,0.0941664296,,8
p0_yolo_clean_filt_trainval,val,10um,HFocusing_5_10_10um_0_100.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_10um_0_100.npy,0.0308852712,-1.16815323,1.12221424,10um=1,3
p0_yolo_clean_filt_trainval,val,10um,HFocusing_5_10_10um_0_1674.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_10um_0_1674.npy,0.0428496033,-0.621806021,0.584034386,10um=1,1
p0_yolo_clean_filt_trainval,val,10um,HFocusing_5_10_10um_Calib_75.311_0_1.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_10um_Calib_75.311_0_1.npy,0.0572649186,-0.753429568,1.02730271,10um=1,2
p0_yolo_clean_filt_trainval,val,10um,HFocusing_5_10_10um_0_1000.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_10um_0_1000.npy,0.0299577131,-0.212667226,0.191728334,10um=1,3
