class,split,source_path,staged_path,action
2um,test,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/test/2um/HFocusing_5_10_2um2_0_1.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_10.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_10.npy,symlinked
2um,test,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_100.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/test/2um/HFocusing_5_10_2um2_0_100.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1000.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1000.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1001.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1001.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1004.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1004.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1005.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1005.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1008.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1008.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1009.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1009.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1011.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1011.npy,symlinked
2um,test,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1014.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/test/2um/HFocusing_5_10_2um2_0_1014.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1015.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1015.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1018.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1018.npy,symlinked
2um,train,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_1019.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/train/2um/HFocusing_5_10_2um2_0_1019.npy,symlinked
2um,test,P0/C1_HF_5_10_2um_doublet2/HFocusing_5_10_2um2_0_102.npy,particles2SNR_pipeline/output/p0_c1_particles2SNR_staging/test/2um/HFocusing_5_10_2um2_0_102.npy,symlinked
