file,path,class,interval_idx,start_sample,end_sample,duration_samples,flat_derivative_count,fs,fmin,fmax,min_flat,zero_threshold,method
HFocusing_5_10_10um_0_1.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1.npy,10um,0,14598,16384,1786,1785,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_100.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_100.npy,10um,0,15551,16384,833,832,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1027.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1027.npy,10um,0,0,1618,1618,1617,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1055.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1055.npy,10um,0,11481,14692,3211,3210,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1059.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1059.npy,10um,0,11148,14316,3168,3167,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_107.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_107.npy,10um,0,7490,11112,3622,3621,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1070.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1070.npy,10um,0,12112,14154,2042,2041,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1073.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1073.npy,10um,0,0,1563,1563,1562,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_108.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_108.npy,10um,0,13285,16384,3099,3098,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1083.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1083.npy,10um,0,9387,13021,3634,3633,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1087.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1087.npy,10um,0,11051,12578,1527,1526,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1094.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1094.npy,10um,0,10846,13356,2510,2509,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1098.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1098.npy,10um,0,3016,7175,4159,4158,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1110.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1110.npy,10um,0,0,1643,1643,1642,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1111.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1111.npy,10um,0,0,958,958,957,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_112.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_112.npy,10um,0,14633,16384,1751,1750,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
HFocusing_5_10_10um_0_1133.npy,P0/data/dataset_particles2SNR_c1/train/10um/HFocusing_5_10_10um_0_1133.npy,10um,0,4727,7205,2478,2477,2000000.0,7000.0,80000.0,500,0.0001,bandpass_derivative_flat_run
