split,filename,source_path,output_path,original_class,assigned_class,median_snr_db,mean_snr_db,min_snr_db,max_snr_db,n_particles_with_snr,snr_threshold_db,assignment_reason,file_action
train,HFocusing_5_10_2um2_0_10.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_10.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_10.npy,2um,unclear,-10.755440151701583,-10.954961848575051,-16.206090216782336,-4.691611892982009,15,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1000.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1000.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1000.npy,2um,unclear,-12.504227363916787,-11.211230703386152,-15.924506397225793,1.1938036300507286,15,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1001.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1001.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1001.npy,2um,unclear,-11.719171420441517,-10.569104478264112,-19.948957415526362,-0.4711358264925929,20,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1004.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1004.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1004.npy,2um,unclear,-12.245141039130846,-11.963514369143274,-17.387272367007224,-2.459987889841791,22,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1005.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1005.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1005.npy,2um,unclear,-12.010692845256294,-12.56932153791025,-19.970713022704494,-0.022244306818604804,15,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1008.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1008.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1008.npy,2um,unclear,-14.58138401391102,-13.929871596361624,-16.76933711257969,-8.553138281723712,14,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1009.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1009.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1009.npy,2um,unclear,-11.605508469571015,-9.989940800211924,-14.428331979015711,2.4450824478399418,10,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1011.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1011.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1011.npy,2um,unclear,-12.702213422169953,-10.764916028404917,-15.154099084945562,0.032808170415230764,12,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1015.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1015.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1015.npy,2um,unclear,-13.24365827324364,-12.32416927835956,-18.141868100545217,-2.3424361334837602,24,-10.0,median_snr_below_threshold,symlinked
train,HFocusing_5_10_2um2_0_1018.npy,P0/data/dataset_particles2SNR_c1/train/2um/HFocusing_5_10_2um2_0_1018.npy,P0/data/particles2SNR_4_class_lim10/train/unclear/HFocusing_5_10_2um2_0_1018.npy,2um,unclear,-12.523455971998693,-12.465496734579734,-17.84533907358675,-8.02829535299754,20,-10.0,median_snr_below_threshold,symlinked
