pipeline,class,band,band_low_hz,band_high_hz,pick_pct,n_picks
old,2um,0-1 kHz,0.0,1000.0,0.0,3622
old,2um,1-7 kHz,1000.0,7000.0,12.589729431253453,3622
old,2um,7-10 kHz,7000.0,10000.0,24.95858641634456,3622
old,2um,10-40 kHz,10000.0,40000.0,61.844284925455554,3622
old,2um,40-80 kHz,40000.0,80000.0,0.6073992269464384,3622
old,2um,80 kHz-Nyq,80000.0,,0.0,3622
old,4um,0-1 kHz,0.0,1000.0,0.0,1645
old,4um,1-7 kHz,1000.0,7000.0,9.848024316109424,1645
old,4um,7-10 kHz,7000.0,10000.0,15.74468085106383,1645
old,4um,10-40 kHz,10000.0,40000.0,74.22492401215806,1645
old,4um,40-80 kHz,40000.0,80000.0,0.182370820668693,1645
old,4um,80 kHz-Nyq,80000.0,,0.0,1645
old,10um,0-1 kHz,0.0,1000.0,0.0,1638
old,10um,1-7 kHz,1000.0,7000.0,12.942612942612945,1638
old,10um,7-10 kHz,7000.0,10000.0,25.82417582417583,1638
old,10um,10-40 kHz,10000.0,40000.0,61.05006105006105,1638
old,10um,40-80 kHz,40000.0,80000.0,0.18315018315018314,1638
old,10um,80 kHz-Nyq,80000.0,,0.0,1638
new,2um,0-1 kHz,0.0,1000.0,0.0,81
new,2um,1-7 kHz,1000.0,7000.0,0.0,81
new,2um,7-10 kHz,7000.0,10000.0,2.4691358024691357,81
new,2um,10-40 kHz,10000.0,40000.0,97.53086419753086,81
new,2um,40-80 kHz,40000.0,80000.0,0.0,81
new,2um,80 kHz-Nyq,80000.0,,0.0,81
new,4um,0-1 kHz,0.0,1000.0,0.0,107
new,4um,1-7 kHz,1000.0,7000.0,0.0,107
new,4um,7-10 kHz,7000.0,10000.0,0.0,107
new,4um,10-40 kHz,10000.0,40000.0,100.0,107
new,4um,40-80 kHz,40000.0,80000.0,0.0,107
new,4um,80 kHz-Nyq,80000.0,,0.0,107
new,10um,0-1 kHz,0.0,1000.0,0.0,170
new,10um,1-7 kHz,1000.0,7000.0,0.0,170
new,10um,7-10 kHz,7000.0,10000.0,2.3529411764705883,170
new,10um,10-40 kHz,10000.0,40000.0,97.6470588235294,170
new,10um,40-80 kHz,40000.0,80000.0,0.0,170
new,10um,80 kHz-Nyq,80000.0,,0.0,170
