pipeline,class,source,band,band_low_hz,band_high_hz,mean_pct,std_pct,n_segments_or_windows,n_candidate_windows
yolo_v3_old_pipeline,2um,particle_labels,0-1 kHz,0.0,1000.0,1.0806176483856114,1.809635370820453,135,
yolo_v3_old_pipeline,2um,particle_labels,1-7 kHz,1000.0,7000.0,8.24860991203133,7.0241452379826,135,
yolo_v3_old_pipeline,2um,particle_labels,7-10 kHz,7000.0,10000.0,6.263464237282358,12.380025609387022,135,
yolo_v3_old_pipeline,2um,particle_labels,10-40 kHz,10000.0,40000.0,70.95800389106986,19.079797151918743,135,
yolo_v3_old_pipeline,2um,particle_labels,40-80 kHz,40000.0,80000.0,3.379913207870933,2.0766461423107265,135,
yolo_v3_old_pipeline,2um,particle_labels,80 kHz-Nyq,80000.0,,10.069391103359898,5.921629960140971,135,
yolo_v3_old_pipeline,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,36.817219107443336,29.485638325687408,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,16.207857571817485,10.144140241749774,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,3.627213015212072,3.0060036290261505,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,19.110337246909324,16.935522476233803,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,7.321606966774262,4.245288758989586,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,16.915766091843523,11.007133918751894,5999,5999
yolo_v3_old_pipeline,4um,particle_labels,0-1 kHz,0.0,1000.0,0.3264887221580228,0.6991309313685806,154,
yolo_v3_old_pipeline,4um,particle_labels,1-7 kHz,1000.0,7000.0,1.787179690983603,1.4663977277606879,154,
yolo_v3_old_pipeline,4um,particle_labels,7-10 kHz,7000.0,10000.0,2.4066004820941713,12.125604055933005,154,
yolo_v3_old_pipeline,4um,particle_labels,10-40 kHz,10000.0,40000.0,92.95234882606773,13.185189884186183,154,
yolo_v3_old_pipeline,4um,particle_labels,40-80 kHz,40000.0,80000.0,0.8616107295044205,1.145104537038854,154,
yolo_v3_old_pipeline,4um,particle_labels,80 kHz-Nyq,80000.0,,1.6657715491920437,3.4638291771183147,154,
yolo_v3_old_pipeline,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,36.73566468902623,29.489624928936713,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,16.18663954764261,10.127656490121863,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,3.6277932674937117,3.0064543310411835,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,19.178018377808385,17.02868243145243,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,7.334931258941364,4.252099677814338,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,16.93695285908769,11.028043732452637,3123,3123
yolo_v3_old_pipeline,10um,particle_labels,0-1 kHz,0.0,1000.0,1.8196036372195534,7.985236801497693,95,
yolo_v3_old_pipeline,10um,particle_labels,1-7 kHz,1000.0,7000.0,14.422965502474524,20.77612243358294,95,
yolo_v3_old_pipeline,10um,particle_labels,7-10 kHz,7000.0,10000.0,6.521094535405291,16.742829258472256,95,
yolo_v3_old_pipeline,10um,particle_labels,10-40 kHz,10000.0,40000.0,72.16158470945642,29.47714354615868,95,
yolo_v3_old_pipeline,10um,particle_labels,40-80 kHz,40000.0,80000.0,1.4595414552320303,1.8753593180116161,95,
yolo_v3_old_pipeline,10um,particle_labels,80 kHz-Nyq,80000.0,,3.615210160212186,5.051964331982919,95,
yolo_v3_old_pipeline,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,36.73566468902623,29.489624928936713,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,16.18663954764261,10.127656490121863,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,3.6277932674937117,3.0064543310411835,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,19.178018377808385,17.02868243145243,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,7.334931258941364,4.252099677814338,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,16.93695285908769,11.028043732452637,3123,3123
p0_c1_particles2SNR,2um,particle_labels,0-1 kHz,0.0,1000.0,7.633455782553054,11.508572014481107,3622,
p0_c1_particles2SNR,2um,particle_labels,1-7 kHz,1000.0,7000.0,21.675981140173146,12.28733682992555,3622,
p0_c1_particles2SNR,2um,particle_labels,7-10 kHz,7000.0,10000.0,7.500471243653406,8.812134054518324,3622,
p0_c1_particles2SNR,2um,particle_labels,10-40 kHz,10000.0,40000.0,30.165195716831015,19.19745080730295,3622,
p0_c1_particles2SNR,2um,particle_labels,40-80 kHz,40000.0,80000.0,8.391061601573803,3.636930008963282,3622,
p0_c1_particles2SNR,2um,particle_labels,80 kHz-Nyq,80000.0,,24.633834515215582,8.966253992876482,3622,
p0_c1_particles2SNR,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,58.82795015438158,32.799667425849414,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,10.157049630753038,8.916323786260909,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,1.870577086382155,1.8433401551638764,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,8.653513254106644,7.343727689055569,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,4.8669881001517075,4.079174114217777,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,15.623921774224875,12.647457421386367,771,771
p0_c1_particles2SNR,4um,particle_labels,0-1 kHz,0.0,1000.0,3.719546487064255,6.4655133022773885,1645,
p0_c1_particles2SNR,4um,particle_labels,1-7 kHz,1000.0,7000.0,15.427760381529298,12.82856955072509,1645,
p0_c1_particles2SNR,4um,particle_labels,7-10 kHz,7000.0,10000.0,5.261076721824057,7.566244274532234,1645,
p0_c1_particles2SNR,4um,particle_labels,10-40 kHz,10000.0,40000.0,51.49193277148879,33.25817185828742,1645,
p0_c1_particles2SNR,4um,particle_labels,40-80 kHz,40000.0,80000.0,6.230657141309461,4.744701300255988,1645,
p0_c1_particles2SNR,4um,particle_labels,80 kHz-Nyq,80000.0,,17.869026496784134,13.29490461263755,1645,
p0_c1_particles2SNR,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,58.1005816593146,33.10435821671467,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,10.354420380143733,9.039699615216083,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,1.908689282250952,1.873541827587066,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,8.86135892658065,7.480092871634891,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,4.932679557273058,4.089318259150083,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,15.842270194437006,12.733724905201088,425,425
p0_c1_particles2SNR,10um,particle_labels,0-1 kHz,0.0,1000.0,22.048541470661668,32.50990036064351,1638,
p0_c1_particles2SNR,10um,particle_labels,1-7 kHz,1000.0,7000.0,32.41913541336691,29.45294963911385,1638,
p0_c1_particles2SNR,10um,particle_labels,7-10 kHz,7000.0,10000.0,4.629381095936428,7.543681069628777,1638,
p0_c1_particles2SNR,10um,particle_labels,10-40 kHz,10000.0,40000.0,21.516789955595257,23.791838631817914,1638,
p0_c1_particles2SNR,10um,particle_labels,40-80 kHz,40000.0,80000.0,4.825834507463074,4.175368654561942,1638,
p0_c1_particles2SNR,10um,particle_labels,80 kHz-Nyq,80000.0,,14.560317556976669,11.824858275920114,1638,
p0_c1_particles2SNR,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,58.1005816593146,33.10435821671467,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,10.354420380143733,9.039699615216083,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,1.908689282250952,1.873541827587066,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,8.86135892658065,7.480092871634891,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,4.932679557273058,4.089318259150083,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,15.842270194437006,12.733724905201088,425,425
p0_c1_clean_7_80_khz,2um,particle_labels,0-1 kHz,0.0,1000.0,0.030713690603213196,0.10089398143871868,320,
p0_c1_clean_7_80_khz,2um,particle_labels,1-7 kHz,1000.0,7000.0,0.4757106269888137,0.9459707872850585,320,
