pipeline,class,source,band,band_low_hz,band_high_hz,mean_energy_db,median_energy_db,std_energy_db,n_segments_or_windows
yolo_v3_old_pipeline,2um,particle_labels,0-1 kHz,0.0,1000.0,-70.38456124633548,-68.34042976445686,10.265998129347107,135
yolo_v3_old_pipeline,2um,particle_labels,1-7 kHz,1000.0,7000.0,-56.65443948171581,-56.7293946891194,5.400703263662397,135
yolo_v3_old_pipeline,2um,particle_labels,7-10 kHz,7000.0,10000.0,-48.82762798751351,-47.47858509583377,22.78409112524816,135
yolo_v3_old_pipeline,2um,particle_labels,10-40 kHz,10000.0,40000.0,-29.522164490976106,-29.679063274600903,4.141326125799723,135
yolo_v3_old_pipeline,2um,particle_labels,40-80 kHz,40000.0,80000.0,-44.19043287878674,-44.20452742367007,2.432591641512723,135
yolo_v3_old_pipeline,2um,particle_labels,80 kHz-Nyq,80000.0,,-58.849595083305324,-58.76751597453608,2.518034143498799,135
yolo_v3_old_pipeline,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-82.46291431534422,-80.99184329588138,9.92759332438461,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-57.737032406517976,-57.84919186154446,4.7293734012777,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-47.129018920527045,-47.495478950469696,4.356217824322125,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-38.16773603189339,-39.74049093557952,4.605191442765017,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-42.87094796181681,-43.81210764070233,3.691589359347608,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-57.19188319943301,-58.04465277885554,3.9378125906712147,5999
yolo_v3_old_pipeline,4um,particle_labels,0-1 kHz,0.0,1000.0,-62.486894759633856,-59.773020545836715,9.526463744306644,154
yolo_v3_old_pipeline,4um,particle_labels,1-7 kHz,1000.0,7000.0,-54.3595511838393,-54.13162249997671,4.920986740578384,154
yolo_v3_old_pipeline,4um,particle_labels,7-10 kHz,7000.0,10000.0,-48.54314846552577,-48.69182163849263,7.94948194919102,154
yolo_v3_old_pipeline,4um,particle_labels,10-40 kHz,10000.0,40000.0,-19.740082279430162,-19.046886611421968,2.8241769367367593,154
yolo_v3_old_pipeline,4um,particle_labels,40-80 kHz,40000.0,80000.0,-42.05241392136097,-42.29493445185176,2.3836895748839777,154
yolo_v3_old_pipeline,4um,particle_labels,80 kHz-Nyq,80000.0,,-58.1912215584226,-58.05511439392926,2.3327986434286228,154
yolo_v3_old_pipeline,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-82.42064702927668,-80.9888904520321,9.936574531179286,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-57.73344920444658,-57.88264539475531,4.670686615380854,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-47.121012257919155,-47.497951612021005,4.272188053422675,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-38.148655135692415,-39.72004863920601,4.515546101479481,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-42.85926021984309,-43.8036178934677,3.603593145314056,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-57.183871172531454,-58.05836795158708,3.8558903898137595,3123
yolo_v3_old_pipeline,10um,particle_labels,0-1 kHz,0.0,1000.0,-65.59355098271052,-65.80971881560636,10.339548825484272,95
yolo_v3_old_pipeline,10um,particle_labels,1-7 kHz,1000.0,7000.0,-54.36345685042259,-54.34797857711882,5.572060439344039,95
yolo_v3_old_pipeline,10um,particle_labels,7-10 kHz,7000.0,10000.0,-47.801761507783596,-47.306190077692,27.773790595074296,95
yolo_v3_old_pipeline,10um,particle_labels,10-40 kHz,10000.0,40000.0,-23.136380854600127,-22.799724868149532,7.376037896226897,95
yolo_v3_old_pipeline,10um,particle_labels,40-80 kHz,40000.0,80000.0,-41.9438287498504,-43.507356999350584,5.310960228058818,95
yolo_v3_old_pipeline,10um,particle_labels,80 kHz-Nyq,80000.0,,-57.80742051050446,-58.30253370042936,4.238220841811994,95
yolo_v3_old_pipeline,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-82.42064702927668,-80.9888904520321,9.936574531179286,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-57.73344920444658,-57.88264539475531,4.670686615380854,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-47.121012257919155,-47.497951612021005,4.272188053422675,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-38.148655135692415,-39.72004863920601,4.515546101479481,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-42.85926021984309,-43.8036178934677,3.603593145314056,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-57.183871172531454,-58.05836795158708,3.8558903898137595,3123
p0_c1_particles2SNR,2um,particle_labels,0-1 kHz,0.0,1000.0,-77.15919550311348,-75.61552614474463,10.674225164296761,3622
p0_c1_particles2SNR,2um,particle_labels,1-7 kHz,1000.0,7000.0,-57.92717684556496,-57.84901367347528,5.224805956398857,3622
p0_c1_particles2SNR,2um,particle_labels,7-10 kHz,7000.0,10000.0,-49.824532871818406,-47.16612513567692,25.550443956502363,3622
p0_c1_particles2SNR,2um,particle_labels,10-40 kHz,10000.0,40000.0,-37.88232972264079,-39.16470628036032,3.9791776797601655,3622
p0_c1_particles2SNR,2um,particle_labels,40-80 kHz,40000.0,80000.0,-44.13212418558481,-44.125787930306515,1.2539534137326518,3622
p0_c1_particles2SNR,2um,particle_labels,80 kHz-Nyq,80000.0,,-58.67086006797256,-58.66478601933724,1.9097007461120112,3622
p0_c1_particles2SNR,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-86.26806085252787,-84.39919114274345,9.886531437171497,771
p0_c1_particles2SNR,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-61.170609186407766,-60.641465996426604,4.224646745373348,771
p0_c1_particles2SNR,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-50.53650399801725,-49.72493480468904,4.635440929525638,771
p0_c1_particles2SNR,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-41.814452003709135,-41.158400539533275,4.171918417253002,771
p0_c1_particles2SNR,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-45.194937933098004,-44.43666251643249,4.4043789796714305,771
p0_c1_particles2SNR,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-59.521543432974404,-58.85373688127554,4.138648569410031,771
p0_c1_particles2SNR,4um,particle_labels,0-1 kHz,0.0,1000.0,-74.72180753496951,-74.21475372127551,11.87388044127803,1645
