pipeline,class,source,band,band_low_hz,band_high_hz,mean_pct,std_pct,n_segments_or_windows,n_candidate_windows
yolo_v3_old_pipeline,2um,particle_labels,0-1 kHz,0.0,1000.0,0.029935581616960322,0.04635933522584875,135,
yolo_v3_old_pipeline,2um,particle_labels,1-7 kHz,1000.0,7000.0,0.5145444937913434,1.5095062219928406,135,
yolo_v3_old_pipeline,2um,particle_labels,7-10 kHz,7000.0,10000.0,6.865625761681799,14.994010624564256,135,
yolo_v3_old_pipeline,2um,particle_labels,10-40 kHz,10000.0,40000.0,88.51856844468277,16.723642477283786,135,
yolo_v3_old_pipeline,2um,particle_labels,40-80 kHz,40000.0,80000.0,3.919890009465895,3.321445419698132,135,
yolo_v3_old_pipeline,2um,particle_labels,80 kHz-Nyq,80000.0,,0.15143570876123333,0.18168722440725044,135,
yolo_v3_old_pipeline,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.0459701015913836,1.143285170301786,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,1.031700318672325,0.9817071641551744,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,10.018872757695542,6.012866986868676,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,63.99592962408515,10.90058160757451,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,23.97462320145352,7.607445473029713,5999,5999
yolo_v3_old_pipeline,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.9329039965020803,0.4106347328970268,5999,5999
yolo_v3_old_pipeline,4um,particle_labels,0-1 kHz,0.0,1000.0,0.017199598349222914,0.028780432800869133,154,
yolo_v3_old_pipeline,4um,particle_labels,1-7 kHz,1000.0,7000.0,0.05878771866706995,0.06962191542655644,154,
yolo_v3_old_pipeline,4um,particle_labels,7-10 kHz,7000.0,10000.0,2.315522758017576,12.350593836139119,154,
yolo_v3_old_pipeline,4um,particle_labels,10-40 kHz,10000.0,40000.0,96.75006029757648,12.374422299749675,154,
yolo_v3_old_pipeline,4um,particle_labels,40-80 kHz,40000.0,80000.0,0.8303145696318789,1.517672007460482,154,
yolo_v3_old_pipeline,4um,particle_labels,80 kHz-Nyq,80000.0,,0.02811505775777539,0.12696093139792378,154,
yolo_v3_old_pipeline,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.03849926303190388,0.7970321394725023,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,1.0277874011563914,0.9618911766536269,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,9.993128416506774,5.963054236534704,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,64.02966692653617,10.871955630353755,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,23.978562986101576,7.6279229214058555,3123,3123
yolo_v3_old_pipeline,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.932355006667188,0.4140056233665358,3123,3123
yolo_v3_old_pipeline,10um,particle_labels,0-1 kHz,0.0,1000.0,0.02248375470024228,0.04165161765334775,95,
yolo_v3_old_pipeline,10um,particle_labels,1-7 kHz,1000.0,7000.0,0.8457262048640188,5.5851485563111725,95,
yolo_v3_old_pipeline,10um,particle_labels,7-10 kHz,7000.0,10000.0,8.971659679001807,21.507803097846818,95,
yolo_v3_old_pipeline,10um,particle_labels,10-40 kHz,10000.0,40000.0,87.93538833128738,23.509290896890363,95,
yolo_v3_old_pipeline,10um,particle_labels,40-80 kHz,40000.0,80000.0,2.160312082049402,3.671374352044453,95,
yolo_v3_old_pipeline,10um,particle_labels,80 kHz-Nyq,80000.0,,0.06442994809715855,0.1357371449623499,95,
yolo_v3_old_pipeline,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.03849926303190388,0.7970321394725023,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,1.0277874011563914,0.9618911766536269,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,9.993128416506774,5.963054236534704,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,64.02966692653617,10.871955630353755,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,23.978562986101576,7.6279229214058555,3123,3123
yolo_v3_old_pipeline,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.932355006667188,0.4140056233665358,3123,3123
p0_c1_particles2SNR,2um,particle_labels,0-1 kHz,0.0,1000.0,0.055055312842532025,0.1997244856483832,3622,
p0_c1_particles2SNR,2um,particle_labels,1-7 kHz,1000.0,7000.0,1.5129496227042243,2.591706719955471,3622,
p0_c1_particles2SNR,2um,particle_labels,7-10 kHz,7000.0,10000.0,12.464387367088154,12.34871707940074,3622,
p0_c1_particles2SNR,2um,particle_labels,10-40 kHz,10000.0,40000.0,66.55307814393724,15.9600085934604,3622,
p0_c1_particles2SNR,2um,particle_labels,40-80 kHz,40000.0,80000.0,18.709078945016056,9.053506777623484,3622,
p0_c1_particles2SNR,2um,particle_labels,80 kHz-Nyq,80000.0,,0.7054506084117989,0.45902585940928187,3622,
p0_c1_particles2SNR,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.07578036153588819,1.194478509410635,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,0.96517398581341,1.1149820552622345,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,9.270030566020889,4.877243189848047,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,60.53030000388767,6.77909013568464,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,28.089374756966695,4.917483275648109,771,771
p0_c1_particles2SNR,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,1.0693403257754472,0.3439100109202156,771,771
p0_c1_particles2SNR,4um,particle_labels,0-1 kHz,0.0,1000.0,0.059545942696702596,0.2549314173207016,1645,
p0_c1_particles2SNR,4um,particle_labels,1-7 kHz,1000.0,7000.0,1.0676920517898691,1.930743605386285,1645,
p0_c1_particles2SNR,4um,particle_labels,7-10 kHz,7000.0,10000.0,8.08627076096682,10.533719326238169,1645,
p0_c1_particles2SNR,4um,particle_labels,10-40 kHz,10000.0,40000.0,77.3179045630404,19.409409237585752,1645,
p0_c1_particles2SNR,4um,particle_labels,40-80 kHz,40000.0,80000.0,12.997668135486032,11.049907108455079,1645,
p0_c1_particles2SNR,4um,particle_labels,80 kHz-Nyq,80000.0,,0.4709185460201836,0.4782640461584907,1645,
p0_c1_particles2SNR,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.054173607096574164,0.7366740976502476,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,0.948621367280932,0.8355029384533385,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,9.306749099410755,5.069510640795681,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,60.61528513786314,6.57866626887774,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,28.008593344212276,4.94237806926275,425,425
p0_c1_particles2SNR,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,1.0665774441363303,0.361435587165391,425,425
p0_c1_particles2SNR,10um,particle_labels,0-1 kHz,0.0,1000.0,0.07394032832802518,0.3557161763791538,1638,
p0_c1_particles2SNR,10um,particle_labels,1-7 kHz,1000.0,7000.0,1.6496998863374925,3.705576992057295,1638,
p0_c1_particles2SNR,10um,particle_labels,7-10 kHz,7000.0,10000.0,12.369922205751195,12.136743221988795,1638,
p0_c1_particles2SNR,10um,particle_labels,10-40 kHz,10000.0,40000.0,67.01891372053117,16.974605638330047,1638,
p0_c1_particles2SNR,10um,particle_labels,40-80 kHz,40000.0,80000.0,18.24618470729238,9.350862717743698,1638,
p0_c1_particles2SNR,10um,particle_labels,80 kHz-Nyq,80000.0,,0.641339151759738,0.4512927453607208,1638,
p0_c1_particles2SNR,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.054173607096574164,0.7366740976502476,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,0.948621367280932,0.8355029384533385,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,9.306749099410755,5.069510640795681,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,60.61528513786314,6.57866626887774,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,28.008593344212276,4.94237806926275,425,425
p0_c1_particles2SNR,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,1.0665774441363303,0.361435587165391,425,425
p0_c1_clean_7_80_khz,2um,particle_labels,0-1 kHz,0.0,1000.0,0.02538081776551057,0.06786362376401117,320,
p0_c1_clean_7_80_khz,2um,particle_labels,1-7 kHz,1000.0,7000.0,0.19616523127294125,0.6239543760572233,320,
p0_c1_clean_7_80_khz,2um,particle_labels,7-10 kHz,7000.0,10000.0,8.10150613795415,14.652393831604613,320,
p0_c1_clean_7_80_khz,2um,particle_labels,10-40 kHz,10000.0,40000.0,83.96709355280328,16.71245286441869,320,
p0_c1_clean_7_80_khz,2um,particle_labels,40-80 kHz,40000.0,80000.0,7.66065956221411,6.751792903384295,320,
p0_c1_clean_7_80_khz,2um,particle_labels,80 kHz-Nyq,80000.0,,0.04919469799000822,0.05028820875606831,320,
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.009464680765558882,0.02749371731142149,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,0.239164316055318,0.9914683835791872,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,9.518344595219094,8.481768497553862,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,65.71090386939701,9.018183390810794,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,24.366831046438442,6.247109901811882,8207,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.15529149212457521,0.06595640585149437,8207,8207
p0_c1_clean_7_80_khz,4um,particle_labels,0-1 kHz,0.0,1000.0,0.01771004241711471,0.07871757948641013,317,
p0_c1_clean_7_80_khz,4um,particle_labels,1-7 kHz,1000.0,7000.0,0.1067891238147651,0.8139153061344155,317,
p0_c1_clean_7_80_khz,4um,particle_labels,7-10 kHz,7000.0,10000.0,1.2043247527912502,4.905941109618684,317,
p0_c1_clean_7_80_khz,4um,particle_labels,10-40 kHz,10000.0,40000.0,96.88138809948119,7.693357026700478,317,
p0_c1_clean_7_80_khz,4um,particle_labels,40-80 kHz,40000.0,80000.0,1.7781949905668988,4.579537371467862,317,
p0_c1_clean_7_80_khz,4um,particle_labels,80 kHz-Nyq,80000.0,,0.011592990928780307,0.03660251499161706,317,
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.009908102699469895,0.03022514757509347,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,0.23854853726865052,0.9884277665440837,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,9.53125971775196,8.480347229273038,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,65.72492199577668,9.016582943437117,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,24.34026418922914,6.2419089679151005,4275,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.15509745727407873,0.06594708362940434,4275,4275
p0_c1_clean_7_80_khz,10um,particle_labels,0-1 kHz,0.0,1000.0,0.020364280159254365,0.08084094257093313,258,
p0_c1_clean_7_80_khz,10um,particle_labels,1-7 kHz,1000.0,7000.0,0.6731598828457565,1.6657531624237083,258,
p0_c1_clean_7_80_khz,10um,particle_labels,7-10 kHz,7000.0,10000.0,9.487275220170625,12.501006841251346,258,
p0_c1_clean_7_80_khz,10um,particle_labels,10-40 kHz,10000.0,40000.0,82.04589662862566,16.527776425512315,258,
p0_c1_clean_7_80_khz,10um,particle_labels,40-80 kHz,40000.0,80000.0,7.734175364731274,7.122380390603581,258,
p0_c1_clean_7_80_khz,10um,particle_labels,80 kHz-Nyq,80000.0,,0.03912862346743401,0.05564370027760623,258,
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,0.009908102699469895,0.03022514757509347,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,0.23854853726865052,0.9884277665440837,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,9.53125971775196,8.480347229273038,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,65.72492199577668,9.016582943437117,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,24.34026418922914,6.2419089679151005,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.15509745727407873,0.06594708362940434,4275,4275
noise_reference,2um,standalone_noise_folder,0-1 kHz,0.0,1000.0,0.007601973362531017,0.011113318193995057,7625,7625
noise_reference,2um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,1.1232597955251442,0.8834985189141185,7625,7625
noise_reference,2um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,10.437470571400558,4.976359824711529,7625,7625
noise_reference,2um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,59.81600495483189,5.922019703206153,7625,7625
noise_reference,2um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,27.45135053691465,4.55654988220232,7625,7625
noise_reference,2um,standalone_noise_folder,80 kHz-Nyq,80000.0,,1.1643121679652335,0.3686398724394463,7625,7625
noise_reference,4um,standalone_noise_folder,0-1 kHz,0.0,1000.0,0.007954531085350948,0.012089469266588031,3965,3965
